@relation Deitado


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
0.003667,3.797533,0.004413,1.021855,0.001458,9.060481,Leve
0.006169,3.818369,0.023382,1.000848,0.000856,9.044911,Leve
0.007949,3.795842,0.033603,1.065138,0.001065,9.050458,Leve
0.001708,3.862661,0.007996,0.928950,0.000664,9.038447,Leve
0.001285,3.727467,0.005071,1.216254,0.000859,9.062499,Leve
0.002976,3.844478,0.014191,0.988195,0.000776,9.036679,Leve
0.008015,3.840395,0.032183,0.998454,0.001144,9.034975,Leve
0.014106,3.761103,0.014269,1.170765,0.001575,9.049402,Leve
0.004829,3.866072,0.012434,0.985660,0.001004,9.028605,Leve
0.001852,3.788010,0.008955,1.155825,0.000704,9.042445,Leve
0.003214,3.822859,0.015928,1.091169,0.000801,9.036351,Leve
0.003109,3.829981,0.006828,1.076936,0.002099,9.032820,Leve
0.003311,3.815513,0.008820,1.143818,0.002936,9.032807,Leve
0.003396,3.847787,0.009456,1.093822,0.008639,9.022009,Leve
0.009244,3.894672,0.031716,1.009922,0.002846,9.006819,Leve
0.259360,4.198352,0.123232,0.840101,0.053980,8.853686,Leve
0.229450,6.053528,0.449815,-0.353520,0.380252,7.691819,Moderado
11.967909,2.147881,0.501379,1.627306,3.376387,8.857678,Moderado
8.118977,-5.456386,0.546091,2.131103,4.339512,7.255916,Moderado
0.173251,-6.909924,0.018878,2.937005,0.128471,6.495047,Moderado
6.944007,-4.441172,0.221790,2.530384,2.046662,7.965365,Moderado
0.424053,0.766959,0.041521,1.628416,0.009831,9.737506,Moderado
5.190272,4.067467,1.955103,0.719012,2.256149,8.557299,Moderado
1.946687,8.375851,0.993160,-0.474650,6.864520,4.156406,Moderado
0.336393,9.060042,0.231449,-1.516727,0.461103,3.118184,Moderado
9.019775,5.667411,1.712906,-0.151290,5.609440,6.896977,Moderado
11.168346,5.596540,0.788102,0.712651,1.846457,7.416040,Moderado
0.319317,3.488915,0.097538,1.663688,0.023882,9.052993,Moderado
2.281496,5.445516,0.096231,0.226037,1.168059,7.996394,Moderado
0.195619,6.696911,0.009134,0.295590,0.173227,7.144274,Moderado
1.572437,3.401879,0.376828,1.679251,0.234939,8.982317,Moderado
0.444702,4.977952,0.196504,1.119457,0.060473,8.401948,Moderado
0.235530,5.164223,0.138079,1.282823,0.047025,8.264667,Moderado
0.012131,4.726896,0.006013,1.585081,0.003776,8.509017,Moderado
0.512602,4.995126,0.374014,1.097718,0.236186,8.336329,Moderado
1.793781,7.517324,0.248209,0.653946,1.484157,6.055124,Moderado
1.563303,1.162385,0.161830,2.606639,0.052898,9.342510,Moderado
0.852738,6.939664,0.121785,0.516631,0.709010,6.859411,Moderado
1.229199,3.186347,0.134684,1.585177,0.111844,9.107208,Moderado
0.572764,2.448001,0.058287,2.005965,0.012231,9.335039,Moderado
11.609798,5.331097,5.086925,1.186997,8.493182,7.792360,Vigoroso
16.737717,-5.639949,0.988946,1.781454,5.390514,6.297708,Vigoroso
3.064358,6.426554,1.138733,0.941578,2.348312,7.234151,Vigoroso
6.283196,3.392490,1.390177,1.422508,1.437367,8.896783,Vigoroso
7.170513,5.545761,1.949591,0.656658,7.331567,7.316776,Vigoroso
4.173737,8.389165,3.320864,-0.408376,12.863083,3.216493,Vigoroso
4.899615,-1.752251,0.371925,1.629747,0.389143,9.351822,Vigoroso
18.903754,2.671402,0.652527,1.058381,2.815389,8.557045,Vigoroso
22.035533,3.964258,4.291715,-0.092435,2.575054,8.045527,Vigoroso
5.226101,5.606070,4.222326,-0.212333,2.526038,8.138079,Vigoroso
35.883572,0.499426,1.664137,0.843933,6.919938,8.030246,Vigoroso
51.384034,-0.535439,0.950714,1.198968,13.006193,6.168541,Vigoroso
20.718859,3.469363,4.437987,0.937119,6.186331,7.862957,Vigoroso
14.991884,5.067586,2.427074,1.305732,5.842506,7.269430,Vigoroso
24.604239,1.169145,1.325349,1.311553,0.992858,8.377805,Vigoroso
22.442635,5.212529,1.515638,0.084736,8.311021,6.276940,Vigoroso
38.664972,3.261490,1.654205,-0.145952,12.416740,5.926846,Vigoroso
21.731493,0.767459,0.661670,0.762788,1.889417,8.467071,Vigoroso
10.070590,7.933938,0.829066,-0.221299,13.216413,3.101055,Vigoroso
36.868993,2.353021,0.480791,-0.497994,14.502147,6.445885,Vigoroso
24.061365,0.048400,0.333455,-0.305214,3.393749,8.385997,Vigoroso
11.034694,5.509082,0.578891,-1.289517,6.253186,6.947087,Vigoroso
7.629375,0.014999,0.324630,-0.221346,0.341455,9.481672,Vigoroso
1.168908,5.288604,0.048953,0.908435,2.498878,7.743294,Leve
0.005049,5.502046,0.016392,0.937452,0.004022,8.049233,Leve
0.013306,5.520661,0.024878,0.915437,0.005454,8.043781,Leve
0.009942,5.487584,0.014949,0.958878,0.003746,8.067165,Leve
0.004719,5.519245,0.016549,0.903789,0.002693,8.045647,Leve
0.050160,5.501641,0.027429,0.894610,0.012862,8.060737,Leve
1.079201,4.843159,0.136419,1.077151,0.348020,8.406018,Leve
1.395045,6.231379,0.178353,0.573106,0.693643,7.401393,Leve
0.012280,5.540662,0.022266,0.764660,0.005108,8.041501,Leve
0.006770,5.530160,0.019166,0.818348,0.004889,8.054869,Leve
0.006606,5.497183,0.010573,0.854874,0.004840,8.063001,Leve
0.013419,5.512955,0.020415,0.831257,0.008780,8.058202,Leve
0.026212,5.557341,0.039427,0.772787,0.018479,8.029613,Leve
0.485973,5.337450,0.114419,0.932823,0.065031,8.170917,Leve
0.360530,5.556590,0.097223,0.874682,0.086514,8.055949,Leve
0.399719,5.469697,0.063168,0.834858,0.072151,8.091205,Leve
0.007294,5.379675,0.030103,0.842184,0.003908,8.145098,Leve
0.008232,5.341323,0.013688,0.901863,0.004710,8.165730,Leve
0.061039,5.296467,0.029761,0.995777,0.018014,8.184790,Leve
0.087998,5.315292,0.077105,0.909961,0.019277,8.179555,Leve
0.051484,5.347497,0.044829,0.892918,0.006456,8.168274,Leve
0.059762,5.364937,0.053877,0.845693,0.011280,8.171082,Leve
0.037441,5.377565,0.051615,0.857054,0.012130,8.141013,Leve
1.852926,4.133894,0.106424,0.868109,5.564136,7.960486,Moderado
0.514972,5.339620,0.081618,0.615837,0.240348,8.141004,Moderado
0.908120,6.607410,0.183574,0.406944,0.669327,7.144673,Moderado
7.230432,2.668577,0.176071,1.106720,0.405972,9.060378,Moderado
4.847708,1.630834,0.094570,0.504817,0.195832,9.451183,Moderado
0.448197,6.290882,0.120346,0.333991,0.200593,7.468313,Moderado
3.158701,4.678129,0.243195,0.542615,1.655071,8.307716,Moderado
