@relation Sentado


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
0.624607,0.873836,0.137379,-9.419819,0.527145,2.241356,Vigoroso
0.222375,0.651129,0.123250,-9.523008,0.504319,1.895973,Vigoroso
0.266023,0.068962,0.094953,-9.582675,0.498514,1.608035,Vigoroso
1.637585,-0.288214,0.326183,-9.255960,1.687073,2.557510,Vigoroso
1.597619,0.557442,0.361535,-9.082213,3.885856,2.533736,Vigoroso
1.355760,1.469876,0.519727,-9.020085,2.243465,2.741690,Vigoroso
1.457936,1.112226,0.533151,-9.290604,2.005670,2.521214,Vigoroso
2.506643,0.560501,0.592820,-9.239506,1.672412,2.389085,Vigoroso
0.987637,1.128339,0.314905,-9.011488,1.078778,3.324732,Vigoroso
0.004049,-1.483231,0.000720,-9.578379,0.009030,0.807761,Leve
0.001829,-1.469758,0.000221,-9.583872,0.007316,0.772013,Leve
0.021547,-1.391947,0.001207,-9.580469,0.043811,0.903483,Leve
0.049240,-1.393282,0.009742,-9.546855,0.097871,1.156519,Leve
0.080753,-1.739866,0.005952,-9.538140,0.059597,0.747781,Leve
0.021520,-1.362516,0.003054,-9.574269,0.042491,1.046530,Leve
0.013603,-1.546279,0.002793,-9.571361,0.020439,0.804663,Leve
0.015727,-1.598857,0.003514,-9.556879,0.060046,0.822056,Leve
0.061940,-1.888714,0.007240,-9.442037,0.069980,1.369675,Leve
0.053245,-1.415255,0.005736,-9.610701,0.111492,0.545010,Leve
0.007389,-1.614490,0.004825,-9.540706,0.440189,0.863720,Leve
0.048568,-1.284161,0.011217,-9.569695,0.429687,0.974745,Leve
0.056209,-1.252778,0.000501,-9.613166,0.079776,0.682840,Leve
0.030376,-1.466568,0.000249,-9.582792,0.059678,0.737510,Leve
0.120126,-1.230597,0.000699,-9.582286,0.127360,1.053817,Leve
0.099708,-1.193797,0.000536,-9.565530,0.137623,1.208282,Leve
0.151998,-1.166633,0.000431,-9.584271,0.159347,1.070490,Leve
0.035846,-1.165436,0.000524,-9.601148,0.073101,1.010470,Leve
0.035036,-1.638761,0.001093,-9.550330,0.207877,0.667184,Leve
0.126981,-1.322725,0.000942,-9.574748,0.223781,0.938575,Leve
0.030862,-1.309604,0.001182,-9.613055,0.027156,0.596731,Leve
0.025116,-1.313431,0.007044,-9.531270,0.321577,1.406148,Leve
0.034171,-1.381407,0.006825,-9.499606,0.119602,1.604890,Leve
0.358559,-0.540784,0.036663,-9.624926,0.540842,0.840013,Moderado
0.390833,-0.801612,0.047871,-9.600420,0.634416,0.960380,Moderado
0.365469,-0.533524,0.050969,-9.670420,0.829458,0.562111,Moderado
0.371595,-0.904022,0.043485,-9.591876,0.349494,1.035891,Moderado
0.192660,-0.534362,0.016156,-9.646598,0.269202,0.906253,Moderado
0.220945,-0.744620,0.023575,-9.622297,0.387767,0.982655,Moderado
0.161304,-0.624464,0.017043,-9.650652,0.240032,0.925852,Moderado
0.182401,-0.702980,0.019639,-9.589951,0.297198,1.335425,Moderado
0.138533,-1.008486,0.019131,-9.567254,0.960282,1.037144,Moderado
0.441669,-0.727251,0.012157,-9.607579,0.225750,1.037464,Moderado
0.079677,-0.785633,0.004594,-9.669917,0.048597,0.582581,Moderado
0.312388,-0.767270,0.066314,-9.544317,0.870799,1.435731,Moderado
0.092139,-0.850153,0.015230,-9.614551,0.722778,0.791260,Moderado
0.100043,-0.973913,0.006677,-9.589281,0.117678,1.212352,Moderado
0.097962,-0.837516,0.022729,-9.591220,0.381607,1.282718,Moderado
0.137106,-0.725683,0.030580,-9.567086,0.510045,1.322198,Moderado
0.381983,-0.602118,0.100592,-9.575539,0.927435,1.212241,Moderado
0.238987,-0.674494,0.039717,-9.581332,0.588882,1.280850,Moderado
0.166021,-0.553812,0.018139,-9.600725,0.439111,1.293902,Moderado
0.171719,-0.780845,0.051203,-9.526313,0.902824,1.516775,Moderado
0.512003,-0.709435,0.073479,-9.501249,1.127533,1.625945,Moderado
0.483577,-0.584544,0.057329,-9.547502,0.525253,1.633324,Moderado
0.704752,-0.789359,0.079137,-9.446276,0.592202,1.956861,Moderado
0.186838,-0.980043,0.137830,-9.390538,0.791635,2.090066,Moderado
4.715318,-0.688849,1.135398,-9.654923,4.413710,0.885855,Vigoroso
5.297010,-0.607241,1.815967,-9.265297,2.921764,1.809131,Vigoroso
4.450638,-0.485436,1.943862,-9.331659,3.118284,2.164804,Vigoroso
2.767800,-0.314263,1.544848,-9.372797,2.988786,1.478084,Vigoroso
3.806838,-0.352522,1.392087,-9.577908,3.787147,1.291025,Vigoroso
4.361497,-0.186630,1.109767,-9.715342,3.890487,0.974417,Vigoroso
1.589386,-0.307056,0.905735,-9.523560,1.420232,1.634665,Vigoroso
0.724303,-0.230876,1.571937,-9.547630,1.419166,1.358545,Vigoroso
1.939584,-0.086886,0.635371,-9.720555,1.548283,1.127573,Vigoroso
1.155008,-0.284503,1.221838,-9.565410,0.441715,0.992397,Vigoroso
1.363553,-0.383448,0.775493,-9.707760,0.930608,0.858673,Vigoroso
0.797827,-0.037709,0.708928,-9.668146,0.422026,0.696114,Vigoroso
0.660461,0.042157,0.607577,-9.671049,0.595036,0.879329,Vigoroso
0.721648,0.272700,0.942077,-9.638194,1.011432,1.467765,Vigoroso
0.604367,0.326855,0.293996,-9.587205,0.511878,1.452975,Vigoroso
0.582396,0.117738,0.669047,-9.703699,0.813432,1.211818,Vigoroso
1.473554,-0.277962,1.062974,-9.395974,1.729589,2.270947,Vigoroso
1.042376,-0.174448,0.940518,-9.510426,1.698311,1.763353,Vigoroso
1.217628,-0.148910,0.626767,-9.545048,1.252162,1.109149,Vigoroso
1.420270,0.048842,0.705491,-9.543480,0.993617,1.376498,Vigoroso
0.540752,-0.190503,1.544317,-9.693067,0.635558,1.520295,Vigoroso
1.428638,-0.107452,1.261200,-9.388048,1.403296,2.195028,Vigoroso
0.958049,-0.103631,0.431599,-9.564883,1.475232,1.784408,Vigoroso
1.220594,-0.266437,0.848539,-9.284620,2.447991,2.583109,Vigoroso
0.161614,1.353170,6.196754,-8.448269,0.623391,2.666366,Leve
0.003687,1.611417,0.001414,-9.169146,0.017132,2.792549,Leve
0.001837,1.640638,0.000983,-9.151789,0.004561,2.850438,Leve
0.004256,1.636859,0.001604,-9.142025,0.009031,2.882056,Leve
0.010599,1.616589,0.004258,-9.118126,0.020245,2.967374,Leve
0.004350,1.669298,0.002204,-9.104398,0.019272,2.974138,Leve
0.011462,1.750021,0.011142,-9.095220,0.062858,2.988339,Leve
0.003992,1.753917,0.001431,-9.171506,0.009552,2.702842,Leve
0.014909,1.717042,0.004410,-9.167797,0.032832,2.743591,Leve
0.027201,1.708099,0.007052,-9.146320,0.045171,2.809455,Leve
0.254739,1.410326,0.146074,-9.198523,0.342468,2.756102,Leve
0.242130,0.844435,0.100473,-9.468134,0.195645,2.150568,Leve
0.120456,0.901914,0.023858,-9.447746,0.088873,2.059397,Leve
0.370479,0.405700,0.020932,-9.530190,0.380030,1.627564,Leve
0.074181,0.340587,0.009915,-9.568850,0.129346,1.622987,Leve
0.268422,0.495741,0.021627,-9.507281,0.316513,1.808303,Leve
0.010908,0.883930,0.008474,-9.441276,0.019319,2.098353,Leve
0.039149,0.865128,0.007947,-9.495404,0.049186,1.922544,Leve
0.026549,0.691713,0.003050,-9.515426,0.018917,1.841118,Leve
0.186391,1.005541,0.015942,-9.524745,0.220961,1.493724,Leve
