@relation Andando


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
7.448287,-0.924258,6.919130,-9.622105,7.783845,1.059626,Vigoroso
11.205420,-1.093047,13.952902,-9.658163,6.283874,0.359365,Vigoroso
13.453495,-0.976083,12.008510,-9.541880,6.303906,1.499216,Vigoroso
13.793222,-1.383705,13.023163,-9.481254,7.735345,0.781013,Vigoroso
13.443152,-1.763705,14.747720,-9.370389,8.466969,0.501538,Vigoroso
10.906311,-0.818441,8.437967,-9.711751,4.388954,0.943081,Vigoroso
17.070776,-1.236112,13.136624,-9.373558,7.143188,0.435346,Vigoroso
12.133349,-1.160812,8.553792,-9.548522,3.410848,1.240079,Vigoroso
12.179828,-1.359789,12.376197,-9.127917,5.052247,1.145367,Vigoroso
14.448885,-1.427296,8.894171,-9.749330,4.306619,0.778491,Vigoroso
8.694019,-1.689931,10.305449,-9.742054,3.680061,0.673710,Vigoroso
11.718713,-1.914978,8.942136,-9.439691,4.900786,0.816950,Vigoroso
8.709714,-1.517972,7.680011,-9.710355,3.652382,0.901704,Vigoroso
11.175599,-1.937308,7.461736,-9.619574,4.705923,0.992490,Vigoroso
5.404953,-0.382016,7.316081,-9.838221,4.899972,-0.038800,Vigoroso
14.152000,-1.085699,13.524714,-9.554206,16.267750,-0.194194,Vigoroso
11.371725,-0.845740,10.620741,-9.872092,6.323956,0.152079,Vigoroso
15.052463,-1.690893,7.662257,-9.364709,7.217514,1.457811,Vigoroso
17.969234,-1.420528,13.598824,-9.810241,8.279663,0.541975,Vigoroso
11.474198,-1.505178,8.824535,-9.551738,9.780665,0.515974,Vigoroso
7.501302,-1.528933,11.278987,-9.382994,5.214416,0.909069,Vigoroso
7.801955,-1.189660,7.772977,-9.265208,2.977529,1.656529,Vigoroso
7.554324,-0.758962,6.800158,-9.641427,6.993931,0.675071,Vigoroso
6.026434,-1.044040,7.044262,-9.681122,3.446318,1.039084,Vigoroso
